DUMMY/000001.wav|Wk Wa2 Wer2 Wp Wu3 TNR Wp Wei2 TVV Ww Wai4 Ws Wun1 TNN Ww Wan2 TVV Wh Wua2 Wt Wi1 TNN . TPU|Wk Wa2 Wer2 Wp Wu3 TNR Wp Wei2 TVV Ww Wai4 Ws Wun1 TNN Ww Wan2 TVV Wh Wua2 Wt Wi1 TNN . TPU
DUMMY/000017.wav|Wy Wou4 Wm Wan2 Ww Wu3 TVA Wn Wiao2 Wn Wiao3 TVV , TPU Wz Wuo3 Wq Wiong2 Wg We1 TNR Wx Wi1 Wx Wi1 TNT . TPU|Wy Wou4 Wm Wan2 Ww Wu3 TVA Wn Wiao2 Wn Wiao3 TVV , TPU Wz Wuo3 Wq Wiong2 Wg We1 TNR Wx Wi1 Wx Wi1 TNT . TPU
DUMMY/000018.wav|Wy Wan3 Wk Wuang4 TNN Wk Wuan1 Wk Wuo4 TVA Wer2 TAD Wd Wi1 Wai3 TVA , TPU Wb Wi2 TVA Wd Wuan3 TVA Wer2 TAD Wk Wuan1 TVA . TPU|Wy Wan3 Wk Wuang4 TNN Wk Wuan1 Wk Wuo4 TVA Wer2 TAD Wd Wi1 Wai3 TVA , TPU Wb Wi2 TVA Wd Wuan3 TVA Wer2 TAD Wk Wuan1 TVA . TPU
DUMMY/000019.wav|Wx Wia2 Wp Wu3 Wx Wian4 TNR Wy Wa2 Wch Weng2 Wzh Wen4 TNR Ww Wu1 Wq Wi2 TNR \ TPU Ww Wa3 Wy Wao2 Wc Wun1 TNR Wsh Wui3 Ww Wei4 TNN Wm Weng2 TVV Wzh Wang3 TVV . TPU|Wx Wia2 Wp Wu3 Wx Wian4 TNR Wy Wa2 Wch Weng2 Wzh Wen4 TNR Ww Wu1 Wq Wi2 TNR \ TPU Ww Wa3 Wy Wao2 Wc Wun1 TNR Wsh Wui3 Ww Wei4 TNN Wm Weng2 TVV Wzh Wang3 TVV . TPU
DUMMY/000020.wav|Wh Wuo4 Ws Wi1 Wy Wan4 TNR Wl Wu4 Wb Wei4 TVV Wx Wiu4 Wr Wu3 Wg Wou1 TNN Wx Wing4 Wg Wan3 TNN Wr We2 Wh Wuo3 TVV . TPU|Wh Wuo4 Ws Wi1 Wy Wan4 TNR Wl Wu4 Wb Wei4 TVV Wx Wiu4 Wr Wu3 Wg Wou1 TNN Wx Wing4 Wg Wan3 TNN Wr We2 Wh Wuo3 TVV . TPU
DUMMY/000021.wav|Wy We3 TAD Wk We2 Wy Wi3 TVV Wg Wei3 TP Wb Wen2 TDT Ww Wei3 Wy Wuan2 TNN Wf Wan3 Wy Wing4 TVV Wy Wou5 TSP . TPU|Wy We3 TAD Wk We2 Wy Wi3 TVV Wg Wei3 TP Wb Wen2 TDT Ww Wei3 Wy Wuan2 TNN Wf Wan3 Wy Wing4 TVV Wy Wou5 TSP . TPU
DUMMY/000022.wav|Wy Wao2 Wl Wan2 Wp Wai2 TNN Wg Wai4 TNN Ww Wei2 Wj Wian4 TNN Wy Wing1 Wer2 TNN Wp Wei4 Wf Wang1 TNN Wn Wai2 Wf Wen3 TNN . TPU|Wy Wao2 Wl Wan2 Wp Wai2 TNN Wg Wai4 TNN Ww Wei2 Wj Wian4 TNN Wy Wing1 Wer2 TNN Wp Wei4 Wf Wang1 TNN Wn Wai2 Wf Wen3 TNN . TPU
DUMMY/000023.wav|We4 Wy Wu4 Wl Wu2 TNR Ww Wan3 Ws Wu1 TNR Wj Wu2 Wd Wi4 TNN Wd Wa4 Wb Wao4 Wy Wu3 TJJ . TPU|We4 Wy Wu4 Wl Wu2 TNR Ww Wan3 Ws Wu1 TNR Wj Wu2 Wd Wi4 TNN Wd Wa4 Wb Wao4 Wy Wu3 TJJ . TPU
DUMMY/000024.wav|Wy Wi3 Wx Wia4 TAD Ww Wei2 TVC Wx Wve1 Wm Wan2 Wz Wi5 TNN Wg Wuan1 Wd Wian3 TNN Wzh Wai1 Wy Wao4 TNN . TPU|Wy Wi3 Wx Wia4 TAD Ww Wei2 TVC Wx Wve1 Wm Wan2 Wz Wi5 TNN Wg Wuan1 Wd Wian3 TNN Wzh Wai1 Wy Wao4 TNN . TPU
DUMMY/000025.wav|Wch Wen2 Wy Wu2 TJJ Wl Wuo4 Wy Wan4 TVV , TPU Wb Wi4 Wy Wve4 TVV Wx Wiu1 Wh Wua1 TVV . TPU|Wch Wen2 Wy Wu2 TJJ Wl Wuo4 Wy Wan4 TVV , TPU Wb Wi4 Wy Wve4 TVV Wx Wiu1 Wh Wua1 TVV . TPU
DUMMY/000026.wav|Wer2 TAD Wx Wu3 Wg Wuan4 Wy Wing1 TNR Wy Wi4 TAD Wj Wiang1 TAD Wy Wu2 TP Wm Wing2 Wr Wi4 TNT Wch Wu1 Wb Win4 TVV . TPU|Wer2 TAD Wx Wu3 Wg Wuan4 Wy Wing1 TNR Wy Wi4 TAD Wj Wiang1 TAD Wy Wu2 TP Wm Wing2 Wr Wi4 TNT Wch Wu1 Wb Win4 TVV . TPU
DUMMY/000027.wav|Wa1 Wj Wiao1 TNR Wy Wu2 TCC Wb Wai3 TCD Ww Wei4 TM " TPU Wg Wui2 Wf Wen3 Ws Wi1 TNN " TPU Wk Wuang2 Wh Wuan1 TVV . TPU|Wa1 Wj Wiao1 TNR Wy Wu2 TCC Wb Wai3 TCD Ww Wei4 TM " TPU Wg Wui2 Wf Wen3 Ws Wi1 TNN " TPU Wk Wuang2 Wh Wuan1 TVV . TPU
DUMMY/000028.wav|Wf Wang2 Ww Wu1 TNN Wm Wai3 Wm Wai4 TNN Wq Wi4 Wy Wve1 TNN Wh We2 TCC Wsh Wou1 Wt Wiao2 TVV . TPU|Wf Wang2 Ww Wu1 TNN Wm Wai3 Wm Wai4 TNN Wq Wi4 Wy Wve1 TNN Wh We2 TCC Wsh Wou1 Wt Wiao2 TVV . TPU
DUMMY/000029.wav|Wl Wiu4 Ww Wan1 Wer5 TVV Wd Wou1 TAD Wd Wei3 TVV Wd Wuo2 TVV Wy Wuan2 Wd Wian3 TVA . TPU|Wl Wiu4 Ww Wan1 Wer5 TVV Wd Wou1 TAD Wd Wei3 TVV Wd Wuo2 TVV Wy Wuan2 Wd Wian3 TVA . TPU
DUMMY/000030.wav|Wh Wei1 Wx Wiong2 TJJ Wch Wuang3 Wj Win4 TVV Ww Wang2 Wm Wing2 Wh Wui1 TNR Wj Wia1 TNN Wh Wou4 Wy Wuan4 TLC Wm Wi4 Wsh Wi2 TVV . TPU|Wh Wei1 Wx Wiong2 TJJ Wch Wuang3 Wj Win4 TVV Ww Wang2 Wm Wing2 Wh Wui1 TNR Wj Wia1 TNN Wh Wou4 Wy Wuan4 TLC Wm Wi4 Wsh Wi2 TVV . TPU
DUMMY/000031.wav|Ww Wu2 Wy Wa4 Wj Wun1 TNR Wy Wu3 TCC Wzh Wang4 Wf Wu5 TNN Wc Wai4 Wk Wui2 TNR . TPU|Ww Wu2 Wy Wa4 Wj Wun1 TNR Wy Wu3 TCC Wzh Wang4 Wf Wu5 TNN Wc Wai4 Wk Wui2 TNR . TPU
DUMMY/000032.wav|Wy Wa4 Wx Wiao1 Ws Wuan1 Wy Wan2 TNN Ww Wei4 TNN Ww Wei1 TNN Wx Wian2 TNN , TPU Wy Wi4 TNN Wr Wong2 Wy Wu2 TVV Wsh Wui3 TNN . TPU|Wy Wa4 Wx Wiao1 Ws Wuan1 Wy Wan2 TNN Ww Wei4 TNN Ww Wei1 TNN Wx Wian2 TNN , TPU Wy Wi4 TNN Wr Wong2 Wy Wu2 TVV Wsh Wui3 TNN . TPU
DUMMY/000033.wav|Wy Wuan4 Wq Wiang2 TNN Wb Wei4 TLB Wsh Wi2 Wm Wian2 Ww Wa3 TNN Wzh We1 Wy Wan3 TVV Wsh Wang4 TVV Wl We5 TAS . TPU|Wy Wuan4 Wq Wiang2 TNN Wb Wei4 TLB Wsh Wi2 Wm Wian2 Ww Wa3 TNN Wzh We1 Wy Wan3 TVV Wsh Wang4 TVV Wl We5 TAS . TPU
DUMMY/000034.wav|Wch Weng2 Wy Win1 TNN Wt Wiao1 Wx Wuan2 TVV Ww Wo2 TPN Wy Wan3 TVV Wzh Wao4 Wy Wu4 Wm Win3 TNR . TPU|Wch Weng2 Wy Win1 TNN Wt Wiao1 Wx Wuan2 TVV Ww Wo2 TPN Wy Wan3 TVV Wzh Wao4 Wy Wu4 Wm Win3 TNR . TPU
DUMMY/000035.wav|Wy Win2 TNN Wch Wi1 TVV Wm Wao3 Wl Wiang2 TNR , TPU Ww Wu2 Wy Wi4 Wy Wu2 TVV Wy Win3 Wzh Wen4 TVV Wzh Wi2 Wk We3 TVV . TPU|Wy Win2 TNN Wch Wi1 TVV Wm Wao3 Wl Wiang2 TNR , TPU Ww Wu2 Wy Wi4 Wy Wu2 TVV Wy Win3 Wzh Wen4 TVV Wzh Wi2 Wk We3 TVV . TPU
DUMMY/000036.wav|Wl Wv2 Wz Wi5 TNN Wy Wve4 TAD Wp Wao3 TVV Wy Wve4 TAD Wk Wuai4 TVA , TPU Wy Wve4 TAD Wp Wao3 TVV Wy Wve4 TAD Wf Weng1 Wk Wuang2 TVA . TPU|Wl Wv2 Wz Wi5 TNN Wy Wve4 TAD Wp Wao3 TVV Wy Wve4 TAD Wk Wuai4 TVA , TPU Wy Wve4 TAD Wp Wao3 TVV Wy Wve4 TAD Wf Weng1 Wk Wuang2 TVA . TPU
DUMMY/000037.wav|Wy We2 Wy Wu2 TVV Wd We5 TDER Ws Wun1 Wy Wao2 TNR Wch Wa4 Wd Wian3 TAD Wb Wei4 Wg Wuo4 TVV Wq Wi4 Wer5 TNN . TPU|Wy We2 Wy Wu2 TVV Wd We5 TDER Ws Wun1 Wy Wao2 TNR Wch Wa4 Wd Wian3 TAD Wb Wei4 Wg Wuo4 TVV Wq Wi4 Wer5 TNN . TPU
DUMMY/000038.wav|Wg Wuang1 Wg Wun4 Wj Wie2 TNN Wy Wing2 Wx Wiao1 TNN Wy Wing4 Wy Wun4 Wer2 Wsh Weng1 TVV . TPU|Wg Wuang1 Wg Wun4 Wj Wie2 TNN Wy Wing2 Wx Wiao1 TNN Wy Wing4 Wy Wun4 Wer2 Wsh Weng1 TVV . TPU
DUMMY/000039.wav|Wg Wao1 Wy Wa1 TNN Wt Wie2 Wt Wa3 TNN Wx Wia4 TLC Wd We5 TDEG Wd Wi1 Wai3 TJJ Wp Weng2 Ww Wu1 TNN . TPU|Wg Wao1 Wy Wa1 TNN Wt Wie2 Wt Wa3 TNN Wx Wia4 TLC Wd We5 TDEG Wd Wi1 Wai3 TJJ Wp Weng2 Ww Wu1 TNN . TPU
DUMMY/000040.wav|Wd Wian4 Wy Wing2 TNN Wh Wai3 Wb Wao4 TNN " TPU Wp Win2 Wm Win2 Wk Wu1 TNN Wb Wai3 Ww Wan4 TCD Wf Wu4 Ww Weng1 TNN " TPU . TPU|Wd Wian4 Wy Wing2 TNN Wh Wai3 Wb Wao4 TNN " TPU Wp Win2 Wm Win2 Wk Wu1 TNN Wb Wai3 Ww Wan4 TCD Wf Wu4 Ww Weng1 TNN " TPU . TPU
DUMMY/000041.wav|Wd Wiao1 Ww Wei2 Wl Wie4 TNR Wy Wi3 TAD Wb Wei4 TLB Wl Wing4 TDT Wan4 TNN Wch Wu2 Wl Wi3 TVV . TPU|Wd Wiao1 Ww Wei2 Wl Wie4 TNR Wy Wi3 TAD Wb Wei4 TLB Wl Wing4 TDT Wan4 TNN Wch Wu2 Wl Wi3 TVV . TPU
DUMMY/000042.wav|Wy Wun2 Ww Wu4 TNN Wy Wou3 Wsh Wi2 TAD Ww Wan3 Wr Wu2 TVV Wy Wu4 Wd Wai4 TNN Wp Wing2 Ww Wo4 TNN Wf Weng1 Wl Wuan2 TNN Wsh Wan1 Wj Wian1 TNN , TPU Wy Wou3 Wsh Wi2 TAD Wch Wui1 Wy Wan1 TNN Wn Wiao3 Wr Wao4 TVV , TPU Wb Wo2 Ww Wu4 TJJ Wq Wing1 TVV Wx Wuan2 TVV . TPU|Wy Wun2 Ww Wu4 TNN Wy Wou3 Wsh Wi2 TAD Ww Wan3 Wr Wu2 TVV Wy Wu4 Wd Wai4 TNN Wp Wing2 Ww Wo4 TNN Wf Weng1 Wl Wuan2 TNN Wsh Wan1 Wj Wian1 TNN , TPU Wy Wou3 Wsh Wi2 TAD Wch Wui1 Wy Wan1 TNN Wn Wiao3 Wr Wao4 TVV , TPU Wb Wo2 Ww Wu4 TJJ Wq Wing1 TVV Wx Wuan2 TVV . TPU
DUMMY/000043.wav|Wz Wui3 Wb Wa5 TNN Wzh Wou1 Ww Wei2 TNN Wl Wve4 Ww Wei1 TAD Wzh Wong2 Wq Wi3 TVV . TPU|Wz Wui3 Wb Wa5 TNN Wzh Wou1 Ww Wei2 TNN Wl Wve4 Ww Wei1 TAD Wzh Wong2 Wq Wi3 TVV . TPU
DUMMY/000044.wav|Wh Wuan1 Wsh Weng1 Wx Wiao4 Wy Wu3 TNN Ws Wa2 Wm Wan3 TVV Wc Wun1 Wzh Wuang1 TNN . TPU|Wh Wuan1 Wsh Weng1 Wx Wiao4 Wy Wu3 TNN Ws Wa2 Wm Wan3 TVV Wc Wun1 Wzh Wuang1 TNN . TPU
DUMMY/000045.wav|Wsh Wa1 Wch Wang3 TNN Wj Wing4 TAD Wy Wun3 Wm Wing4 TVV , TPU Wzh Wuang4 Wzh Wi4 TNN Wy We3 TAD Ww Wu2 TVV Ww Wei2 TVV . TPU|Wsh Wa1 Wch Wang3 TNN Wj Wing4 TAD Wy Wun3 Wm Wing4 TVV , TPU Wzh Wuang4 Wzh Wi4 TNN Wy We3 TAD Ww Wu2 TVV Ww Wei2 TVV . TPU
DUMMY/000046.wav|Wy Wou2 Wzh Wa2 TVV Wd Wou4 Wf Wu5 TNN Wp Wen1 Wp Wen1 Wx Wiang1 TVV , TPU Ws Wan3 Wz Wi5 TPU Wm Wa2 Wh Wua1 TNN Wb Weng1 Wb Weng1 Wc Wui4 TSP , TPU Wz Wi3 Wm Wei4 TNN Wt Wuan2 Wz Wi5 TNN Wsh Wu3 TCD Wer4 TNN Wj Wiang1 TM . TPU|Wy Wou2 Wzh Wa2 TVV Wd Wou4 Wf Wu5 TNN Wp Wen1 Wp Wen1 Wx Wiang1 TVV , TPU Ws Wan3 Wz Wi5 TPU Wm Wa2 Wh Wua1 TNN Wb Weng1 Wb Weng1 Wc Wui4 TSP , TPU Wz Wi3 Wm Wei4 TNN Wt Wuan2 Wz Wi5 TNN Wsh Wu3 TCD Wer4 TNN Wj Wiang1 TM . TPU
DUMMY/000047.wav|Wb Wen3 Wsh Wan1 TNR Wy We3 TAD Wzh Wen1 TAD Wt Wai4 TAD Wk Wou1 Wm Wen2 Wer5 TVA Wl We5 TSP . TPU|Wb Wen3 Wsh Wan1 TNR Wy We3 TAD Wzh Wen1 TAD Wt Wai4 TAD Wk Wou1 Wm Wen2 Wer5 TVA Wl We5 TSP . TPU
DUMMY/000048.wav|Wl Win4 Wd Wong1 Wy Wing1 TNR Wd We5 TDEG Wzh Wu4 Wy Wuan4 TNN Wb Wing4 Wan4 TNN . TPU|Wl Win4 Wd Wong1 Wy Wing1 TNR Wd We5 TDEG Wzh Wu4 Wy Wuan4 TNN Wb Wing4 Wan4 TNN . TPU
DUMMY/000049.wav|Wq Wuan3 TNN Wb Wi4 Wx Wu1 TVV Wsh Wuan1 Wy Wang3 TVV Wh Wuo4 TCC Wj Wuan4 Wy Wang3 TVV . TPU|Wq Wuan3 TNN Wb Wi4 Wx Wu1 TVV Wsh Wuan1 Wy Wang3 TVV Wh Wuo4 TCC Wj Wuan4 Wy Wang3 TVV . TPU
DUMMY/000050.wav|Wh We4 Wl Wi4 TNR Wh We2 TCC Wy Win4 Wd Wu4 TNR Wd Wa4 Wh Weng1 TNN Wa1 Wl Wang2 Wn Wai4 Wer3 TNR Wy Wi3 Wj Wing1 TAD Wf Wen1 Wj Wu1 TVV Wsh Wu4 TCD Wy Wve4 TNN . TPU|Wh We4 Wl Wi4 TNR Wh We2 TCC Wy Win4 Wd Wu4 TNR Wd Wa4 Wh Weng1 TNN Wa1 Wl Wang2 Wn Wai4 Wer3 TNR Wy Wi3 Wj Wing1 TAD Wf Wen1 Wj Wu1 TVV Wsh Wu4 TCD Wy Wve4 TNN . TPU
DUMMY/000051.wav|Wn Wan4 Wx Wiong1 Wn Wan4 Wd Wi4 TNN Wy Wao4 TVV Wh Wao2 Wh Wao3 TAD Wq Wie1 Wc Wuo1 TAD Wq Wie1 Wc Wuo1 TVV . TPU|Wn Wan4 Wx Wiong1 Wn Wan4 Wd Wi4 TNN Wy Wao4 TVV Wh Wao2 Wh Wao3 TAD Wq Wie1 Wc Wuo1 TAD Wq Wie1 Wc Wuo1 TVV . TPU
DUMMY/000052.wav|Wx Wiao3 Wj Wun1 TNN Wd Wa4 Wt Wui3 TNN Wn Wei4 Wc We4 TLC Wy Wu1 Wq Wing1 TNN . TPU|Wx Wiao3 Wj Wun1 TNN Wd Wa4 Wt Wui3 TNN Wn Wei4 Wc We4 TLC Wy Wu1 Wq Wing1 TNN . TPU
DUMMY/000053.wav|Wy Wi3 Wj Wi2 TCC " TPU Wc Wi2 Wx Wiong2 TJJ Wk Wong2 Wz Wi2 Wn Wiao3 TNN " TPU Wf Wu4 Wy Wuan2 Wt Wu2 TVV . TPU|Wy Wi3 Wj Wi2 TCC " TPU Wc Wi2 Wx Wiong2 TJJ Wk Wong2 Wz Wi2 Wn Wiao3 TNN " TPU Wf Wu4 Wy Wuan2 Wt Wu2 TVV . TPU
DUMMY/000054.wav|Wy Wu3 TP Wn Wv2 TJJ Wy Wan3 Wy Wuan2 TNN Wp Wai1 TVV Ww Wen3 Wx Wi4 TVV , TPU Wch Wen2 Wx Wiao3 Wch Wun1 TNR Wb Wu2 TAD Wp Wa4 TVV Wy Wing4 TVV Wc Wai3 Wer2 Wch Wi1 Wc Wu4 TVV . TPU|Wy Wu3 TP Wn Wv2 TJJ Wy Wan3 Wy Wuan2 TNN Wp Wai1 TVV Ww Wen3 Wx Wi4 TVV , TPU Wch Wen2 Wx Wiao3 Wch Wun1 TNR Wb Wu2 TAD Wp Wa4 TVV Wy Wing4 TVV Wc Wai3 Wer2 Wch Wi1 Wc Wu4 TVV . TPU
DUMMY/000055.wav|Wf Wang3 TVV Wzh Wen1 Wzh Wi1 TNN \ TPU Wc Wu1 TVV Wh Wua1 Wn Wi2 TNN Wd Weng3 TETC Wy Win4 Wh Wua1 TNN Wm Wian4 Wl Wiao4 TNN Wd We5 TDEG Wq Wiao3 Wm Wiao4 TJJ Wy Wun4 Wy Wong4 TNN . TPU|Wf Wang3 TVV Wzh Wen1 Wzh Wi1 TNN \ TPU Wc Wu1 TVV Wh Wua1 Wn Wi2 TNN Wd Weng3 TETC Wy Win4 Wh Wua1 TNN Wm Wian4 Wl Wiao4 TNN Wd We5 TDEG Wq Wiao3 Wm Wiao4 TJJ Wy Wun4 Wy Wong4 TNN . TPU
DUMMY/000056.wav|Wy Wu3 TP Wy Wve1 Ws We4 Wf Wu1 TNR Wt Wie1 Wm Wian4 TAD Wl Wou3 Wb Wao4 TVV . TPU|Wy Wu3 TP Wy Wve1 Ws We4 Wf Wu1 TNR Wt Wie1 Wm Wian4 TAD Wl Wou3 Wb Wao4 TVV . TPU
DUMMY/000057.wav|Wn Wu2 Wer3 Wb Wie2 Wer3 Wd We2 Wy We1 Ww Wa2 TNR Wq Wing3 TVV Wzh Wou1 Wy Wong3 Wk Wang1 TNR Wzh Wuan3 Wd Wa2 TVV Wd Wui4 TP Ww Wu2 Wb Wang1 Wg Wuo2 TNR Ww Wei3 Wy Wuan2 Wzh Wang3 TNN Wd We5 TDEG Wq Win1 Wq Wie4 TJJ Ww Wen4 Wh Wou4 TNN . TPU|Wn Wu2 Wer3 Wb Wie2 Wer3 Wd We2 Wy We1 Ww Wa2 TNR Wq Wing3 TVV Wzh Wou1 Wy Wong3 Wk Wang1 TNR Wzh Wuan3 Wd Wa2 TVV Wd Wui4 TP Ww Wu2 Wb Wang1 Wg Wuo2 TNR Ww Wei3 Wy Wuan2 Wzh Wang3 TNN Wd We5 TDEG Wq Win1 Wq Wie4 TJJ Ww Wen4 Wh Wou4 TNN . TPU
DUMMY/000058.wav|Wj Win1 Wy Wou3 Wzh Wuang1 TNR Wm Wan2 TVV Wer2 TNN Wx Wia4 Wzh Wou1 TDT Wj Wuan1 TVV Wsh Wen4 TNN . TPU|Wj Win1 Wy Wou3 Wzh Wuang1 TNR Wm Wan2 TVV Wer2 TNN Wx Wia4 Wzh Wou1 TDT Wj Wuan1 TVV Wsh Wen4 TNN . TPU
